NombreEquipo,NombreJugador,PrecioJugador,FechaNacimiento,Edad,Nacionalidad,Altura,Posicion,PartidosJugados,ValoracionPromedio,TotalGoles,TotalPasesGol,TotalGolesRecibidos,PorteriaImbatida,MinutosJugados
Manchester City,Ederson,56,1993-08-17,27,Brasil,1.88,Portero,308,"2,18",0,0,252,146,27.407'
Manchester City,Zack Steffen,6,1995-04-02,26,Estados Unidos,1.91,Portero,135,"1,53",0,0,187,38,12.240'
Manchester City,Scott Carson,0.5,1985-09-03,35,Inglaterra,1.88,Portero,520,"1,44",0,0,657,153,46.770'
Manchester City,Rúben Dias,70,1997-05-14,23,Portugal,1.87,Defensa central,246,"2,02",13,8,0,0,21.821'
Manchester City,Aymeric Laporte,50,1994-05-27,26,Francia,1.89,Defensa central,336,"1,88",17,10,0,0,28.801'
Manchester City,Nathan Aké,35,1995-02-18,26,Países Bajos,1.8,Defensa central,229,"1,45",17,12,0,0,18.873'
Manchester City,John Stones,30,1994-05-28,26,Inglaterra,1.88,Defensa central,295,"1,99",12,3,0,0,22.897'
Manchester City,Eric García,20,2001-01-09,20,España,1.83,Defensa central,83,"2,01",6,2,0,0,6.753'
Manchester City,Philippe Sandler,3,1997-02-10,24,Países Bajos,1.9,,0,0,0,0,0,0,0
Manchester City,Benjamin Mendy,22,1994-07-17,26,Francia,1.85,Lateral izquierdo,273,"1,91",6,40,0,0,22.296'
Manchester City,Oleksandr Zinchenko,20,1996-12-15,24,Ucrania,1.75,Lateral izquierdo,155,"2,09",5,25,0,0,10.902'
Manchester City,João Cancelo,50,1994-05-27,26,Portugal,1.82,Lateral derecho,274,"1,81",11,42,0,0,20.665'
Manchester City,Kyle Walker,35,1990-05-28,30,Inglaterra,1.83,Lateral derecho,488,"2,01",11,46,0,0,41.115'
Manchester City,Rodri,70,1996-06-22,24,España,1.91,Pivote,268,"2,00",12,13,0,0,19.399'
Manchester City,Fernandinho,2.5,1985-05-04,35,Brasil,1.79,Pivote,631,"2,18",77,77,0,0,49.624'
Manchester City,Phil Foden,70,2000-05-28,20,Inglaterra,1.71,Mediocentro,155,"2,50",48,34,0,0,9.329'
Manchester City,Ilkay Gündogan,40,1990-10-24,30,Alemania,1.8,Mediocentro,452,"2,07",88,53,0,0,32.870'
Manchester City,Kevin De Bruyne,100,1991-06-28,29,Bélgica,1.81,Mediocentro ofensivo,484,"1,99",112,189,0,0,36.967'
Manchester City,Bernardo Silva,70,1994-08-10,26,Portugal,1.73,Mediocentro ofensivo,380,"2,21",70,66,0,0,26.377'
Manchester City,Raheem Sterling,100,1994-12-08,26,Inglaterra,1.7,Extremo izquierdo,433,"2,04",144,121,0,0,32.524'
Manchester City,Ferran Torres,50,2000-02-29,21,España,1.84,Extremo derecho,138,"1,83",18,20,0,0,7.702'
Manchester City,Riyad Mahrez,42,1991-02-21,30,Argelia,1.79,Extremo derecho,381,"1,83",94,85,0,0,26.586'
Manchester City,Gabriel Jesus,60,1997-04-03,24,Brasil,1.75,Delantero centro,237,"2,29",102,39,0,0,15.069'
Manchester City,Sergio Agüero,25,1988-06-02,32,Argentina,1.73,Delantero centro,653,"1,91",375,119,0,0,48.007'
Liverpool FC,Alisson,65,1992-10-02,28,Brasil,1.91,Portero,241,"2,01",0,0,223,104,21.587'
Liverpool FC,Caoimhin Kelleher,2.5,1998-11-23,22,Irlanda,1.88,Portero,60,"1,63",0,0,93,16,5.400'
Liverpool FC,Adrián,1.5,1987-01-03,34,España,1.9,Portero,253,"1,50",0,0,352,76,22.702'
Liverpool FC,Virgil van Dijk,70,1991-07-08,29,Países Bajos,1.93,Defensa central,395,"1,92",43,18,0,0,34.581'
Liverpool FC,Joe Gomez,35,1997-05-23,23,Inglaterra,1.88,Defensa central,154,"2,06",1,5,0,0,11.632'
Liverpool FC,Ozan Kabak,25,2000-03-25,21,Turquía,1.86,Defensa central,86,"1,12",6,1,0,0,6.952'
Liverpool FC,Joel Matip,25,1991-08-08,29,Camerún,1.95,Defensa central,422,"1,79",40,22,0,0,33.700'
Liverpool FC,Rhys Williams,5,2001-02-03,20,Inglaterra,1.95,Defensa central,85,"2,02",8,5,0,0,7.057'
Liverpool FC,Nathaniel Phillips,5,1997-03-21,24,Inglaterra,1.9,Defensa central,63,"1,89",3,1,0,0,4.970'
Liverpool FC,Ben Davies,3,1995-08-11,25,Inglaterra,1.85,Defensa central,250,"1,42",3,6,0,0,21.525'
Liverpool FC,Andrew Robertson,70,1994-03-11,27,Escocia,1.78,Lateral izquierdo,370,"1,79",17,54,0,0,31.701'
Liverpool FC,Konstantinos Tsimikas,8,1996-05-12,24,Grecia,1.79,Lateral izquierdo,160,"1,86",9,19,0,0,13.276'
Liverpool FC,Trent Alexander-Arnold,100,1998-10-07,22,Inglaterra,1.8,Lateral derecho,189,"2,20",13,45,0,0,15.075'
Liverpool FC,Neco Williams,10,2001-04-13,19,Gales,1.83,Lateral derecho,97,"1,66",3,12,0,0,7.597'
Liverpool FC,Fabinho,60,1993-10-23,27,Brasil,1.88,Pivote,377,"1,97",36,30,0,0,30.900'
Liverpool FC,Naby Keïta,38,1995-02-10,26,Guinea,1.72,Mediocentro,251,"1,98",48,39,0,0,17.246'
Liverpool FC,Georginio Wijnaldum,35,1990-11-11,30,Países Bajos,1.75,Mediocentro,559,"1,87",116,56,0,0,43.789'
Liverpool FC,Thiago,35,1991-04-11,29,España,1.74,Mediocentro,410,"2,26",45,57,0,0,28.308'
Liverpool FC,Jordan Henderson,22,1990-06-17,30,Inglaterra,1.87,Mediocentro,484,"1,81",36,64,0,0,37.200'
Liverpool FC,Alex Oxlade-Chamberlain,20,1993-08-15,27,Inglaterra,1.75,Mediocentro,346,"1,94",43,52,0,0,18.122'
Liverpool FC,James Milner,3,1986-01-04,35,Inglaterra,1.75,Mediocentro,763,"1,77",85,130,0,0,51.827'
Liverpool FC,Curtis Jones,30,2001-01-30,20,Inglaterra,1.85,Mediocentro ofensivo,123,"1,79",48,20,0,0,9.203'
Liverpool FC,Ben Woodburn,3,1999-10-15,21,Gales,1.74,Mediocentro ofensivo,98,"1,83",18,18,0,0,6.456'
Liverpool FC,Sadio Mané,100,1992-04-10,28,Senegal,1.74,Extremo izquierdo,394,"1,98",165,88,0,0,30.816'
Liverpool FC,Diogo Jota,40,1996-12-04,24,Portugal,1.78,Extremo izquierdo,239,"1,82",83,41,0,0,16.552'
Liverpool FC,Mohamed Salah,110,1992-06-15,28,Egipto,1.75,Extremo derecho,445,"1,91",198,98,0,0,33.294'
Liverpool FC,Xherdan Shaqiri,14,1991-10-10,29,Suiza,1.69,Extremo derecho,402,"1,92",74,72,0,0,24.648'
Liverpool FC,Roberto Firmino,55,1991-10-02,29,Brasil,1.81,Delantero centro,474,"1,73",141,103,0,0,35.159'
Liverpool FC,Divock Origi,16,1995-04-18,25,Bélgica,1.85,Delantero centro,284,"1,71",59,23,0,0,13.560'
París Saint-Germain FC,Keylor Navas,10,1986-12-15,34,Costa Rica,1.85,Portero,399,"1,91",0,0,385,146,35.873'
París Saint-Germain FC,Sergio Rico,8,1993-09-01,27,España,1.95,Portero,258,"1,60",0,0,346,85,23.024'
París Saint-Germain FC,Alexandre Letellier,0.4,1990-12-11,30,Francia,1.93,Portero,87,"1,26",0,0,112,20,7.920'
